inputTest,targetTest,wl,inputCalibration,targetCalibration,inputValidation
-0.226734146,8.096,952.418142,0.312762618,4.836,-0.427805185
0.575058162,7.983,953.1180303,-0.525241971,8.521,0.259534895
0.433346361,7.92,953.8198578,-0.535895765,9.202,0.304016978
-0.119931966,8.135,954.5218084,-0.491346836,6.656,0.370927632
0.145563841,5.57,955.2257055,0.395192295,8.627,0.031060053
0.397387803,7.486,955.9297277,0.567816615,9.049,0.255997866
-0.276813149,7.846,956.6357036,-0.558450043,6.683,0.252427727
0.328962773,5.204,957.3418064,0.544053793,6.735,0.215318412
0.433782279,8.152,958.0498703,-0.421270967,8.574,0.262584865
0.206872135,5.603,958.7580632,0.239589483,4.754,-0.409194827
-0.190569833,7.746,959.4682243,-0.4563061,6.708,-0.38264519
0.108667642,7.837,960.1785164,0.29301697,9.216,0.017203514
0.475888997,8.142,960.8898609,0.647354364,6.789,0.487575412
-0.127960861,7.913,961.6031848,0.260435849,4.851,-0.393298984
0.237722605,7.744,962.3166426,0.252708375,4.847,0.025517944
0.109068424,7.64,963.0320873,0.29942292,4.924,-0.473571777
0.132514104,8.286,963.7476677,-0.53798902,9.786,0.386196077
-0.287118644,8.04,964.4652426,0.562287748,8.443,-0.455393434
0.417193532,8.236,965.1829553,0.6809479,6.718,0.189243197
-0.175669894,8.093,965.9026699,-0.611047864,9.105,0.07885769
-0.329843849,7.603,966.6225242,-0.580857158,9.211,0.298540175
-0.058836598,8.034,967.3443881,0.64180249,8.482,-0.446094871
0.37072435,5.425,968.0663939,-0.478925794,8.625,0.073855862
0.026945002,7.903,968.7904167,0.406154215,8.481,0.433910966
0.538834214,7.953,969.5145834,-0.538444519,9.033,-0.03052422
0.552420855,8.222,970.2398336,0.635581553,8.353,-0.411158502
0.227536261,5.3,970.9671124,0.612938523,8.419,0.288244873
0.473502278,8.298,971.6945381,0.281087458,9.204,0.436254174
0.541943491,8.464,972.4240002,0.619152963,8.565,0.001039265
0.413464606,8.194,973.1536113,0.563154221,9.109,-0.318447262
0.420161515,8.033,973.8852666,0.489217758,9.265,0.295129716
0.176770434,5.237,974.617073,0.391178459,8.497,-0.446801215
0.265470177,5.123,975.3509313,0.29715988,9.032,-0.09473256
0.619297028,7.994,976.0849428,-0.388623714,8.526,-0.132151663
0.205000475,5.729,976.8210142,0.215332955,6.195,-0.375892371
-0.278895438,7.969,977.5572409,0.302816927,6.667,-0.391982108
-0.274750799,7.811,978.2945782,0.202774227,6.136,0.261331558
0.084924571,8.152,979.0339872,0.228643611,6.066,0.244208157
0.534910321,8.017,979.7735547,0.415506274,8.448,0.36801523
0.338415891,5.371,980.5152019,0.309174418,9.162,0.200554311
0.133312389,5.495,981.2570099,0.508607209,8.315,0.437859178
0.330271631,5.631,982.0009054,0.604596734,8.996,0.383656442
0.272301495,5.282,982.7449639,0.638580263,6.742,0.405050039
0.301703721,5.547,983.4911181,0.385392815,6.705,0.013706444
0.122503057,8.008,984.2374374,-0.577264309,9.134,0.270484507
0.128407583,5.252,984.9858605,-0.572501898,9.098,0.395155311
0.216769651,5.496,985.734451,0.335946351,6.694,0.084224328
0.477308065,8.478,986.4841802,0.250853181,4.743,0.116715252
0.480077684,8.135,987.2360254,0.217511714,6.23,-0.425979108
0.012054864,8.29,987.9880414,0.24747932,6.163,-0.069032282
-0.102671497,7.704,988.7421815,0.419302255,6.708,0.118855976
0.24210456,8.056,989.4964947,0.38009581,8.718,0.187353626
-0.073200561,8.307,990.2529403,0.471820205,9.382,0.251174331
-0.263446271,7.925,991.0095613,-0.503023148,6.815,-0.427377105
0.184022859,7.911,991.7683229,-0.480256379,6.682,-0.469841301
-0.185825735,7.948,992.5272622,-0.366396427,8.562,0.361051917
0.145139679,8.229,993.2883506,0.410613537,8.528,-0.430994093
0.270478666,5.341,994.049619,0.349871963,6.734,0.448380202
0.563789368,8.201,994.8120551,0.525646031,9.142,-0.439410776
0.04112779,8.429,995.5766529,0.315462053,4.896,0.438914418
0.031585261,8.006,996.3414343,0.343167484,4.903,0.508661568
0.25941363,5.474,997.1083857,0.310938179,6.618,0.17069754
0.440632612,8.23,997.875523,0.667041481,6.771,0.396900922
-0.169338256,7.919,998.644839,0.335995615,9.037,0.387419701
-0.179195687,8.102,999.4143432,0.38679257,8.496,-0.410232484
0.08357913,8.368,1000.185734,0.237020567,4.836,-0.43969214
0.110408112,7.825,1000.958017,0.311490923,4.89,-0.38855961
0.518674135,8.153,1001.731593,0.486507624,9.106,
0.118764699,8.05,1002.506266,0.623730183,6.732,
0.145757899,7.82,1003.282238,-0.6161654,9.069,
0.279314935,8.145,1004.059311,-0.374778301,8.481,
0.182649255,5.498,1004.837691,0.588937998,6.834,
,,1005.617176,-0.475040734,8.594,
,,1006.397974,-0.474231362,8.497,
,,1007.179985,-0.465113699,6.802,
,,1007.96311,0.209387362,6.043,
,,1008.747556,0.750350475,6.732,
,,1009.533122,0.139051169,9.272,
,,1010.320015,0.228066504,6.077,
,,1011.108033,-0.485609412,6.824,
,,1011.897383,0.389702857,6.73,
,,1012.687865,0.2588045,6.028,
,,1013.479685,-0.498013198,6.752,
,,1014.272745,-0.538165927,8.482,
,,1015.066943,0.643448651,8.752,
,,1015.86249,0.43515861,8.387,
,,1016.659181,0.312679648,9.143,
,,1017.457226,0.295348763,4.989,
,,1018.256421,0.574703753,8.585,
,,1019.056977,,,
,,1019.858792,,,
,,1020.661766,,,
,,1021.46611,,,
,,1022.271618,,,
,,1023.078503,,,
,,1023.886557,,,
,,1024.695993,,,
,,1025.506605,,,
,,1026.318606,,,
,,1027.131894,,,
,,1027.946367,,,
,,1028.762238,,,
,,1029.579298,,,
,,1030.397764,,,
,,1031.217426,,,
,,1032.0385,,,
,,1032.860775,,,
,,1033.684469,,,
,,1034.509478,,,
,,1035.335697,,,
,,1036.163344,,,
,,1036.992208,,,
,,1037.822507,,,
,,1038.654029,,,
,,1039.486992,,,
,,1040.321185,,,
,,1041.156825,,,
,,1041.993809,,,
,,1042.832031,,,
,,1043.671712,,,
,,1044.512637,,,
,,1045.355028,,,
,,1046.198669,,,
,,1047.043782,,,
,,1047.890262,,,
,,1048.738001,,,
,,1049.587224,,,
,,1050.437712,,,
,,1051.289691,,,
,,1052.142942,,,
,,1052.99769,,,
,,1053.853716,,,
,,1054.711247,,,
,,1055.570175,,,
,,1056.430391,,,
,,1057.292123,,,
,,1058.155149,,,
,,1059.019697,,,
,,1059.885547,,,
,,1060.752927,,,
,,1061.621614,,,
,,1062.491839,,,
,,1063.363491,,,
,,1064.236461,,,
,,1065.11098,,,
,,1065.986823,,,
,,1066.864221,,,
,,1067.742952,,,
,,1068.623245,,,
,,1069.50499,,,
,,1070.388078,,,
,,1071.27274,,,
,,1072.15875,,,
,,1073.046342,,,
,,1073.93529,,,
,,1074.825827,,,
,,1075.717727,,,
,,1076.611224,,,
,,1077.506207,,,
,,1078.402562,,,
,,1079.300527,,,
,,1080.199872,,,
,,1081.100833,,,
,,1082.003182,,,
,,1082.907155,,,
,,1083.812523,,,
,,1084.719524,,,
,,1085.628043,,,
,,1086.537968,,,
,,1087.449538,,,
,,1088.36252,,,
,,1089.277156,,,
,,1090.193211,,,
,,1091.110927,,,
,,1092.030189,,,
,,1092.950882,,,
,,1093.873249,,,
,,1094.797054,,,
,,1095.72254,,,
,,1096.649473,,,
,,1097.578095,,,
,,1098.508171,,,
,,1099.439945,,,
,,1100.373302,,,
,,1101.308123,,,
,,1102.244655,,,
,,1103.18266,,,
,,1104.122384,,,
,,1105.063589,,,
,,1106.006522,,,
,,1106.950943,,,
,,1107.897102,,,
,,1108.844879,,,
,,1109.794155,,,
,,1110.745182,,,
,,1111.697717,,,
,,1112.652011,,,
,,1113.60782,,,
,,1114.565397,,,
,,1115.524622,,,
,,1116.485375,,,
,,1117.44791,,,
,,1118.41198,,,
,,1119.377841,,,
,,1120.345246,,,
,,1121.31445,,,
,,1122.285206,,,
,,1123.257771,,,
,,1124.232023,,,
,,1125.20784,,,
,,1126.185479,,,
,,1127.164692,,,
,,1128.145736,,,
,,1129.128361,,,
,,1130.112828,,,
,,1131.098885,,,
,,1132.086793,,,
,,1133.076427,,,
,,1134.067665,,,
,,1135.060767,,,
,,1136.055481,,,
,,1137.05207,,,
,,1138.050279,,,
,,1139.050371,,,
,,1140.052224,,,
,,1141.055709,,,
,,1142.061094,,,
,,1143.068121,,,
,,1144.077056,,,
,,1145.087643,,,
,,1146.100148,,,
,,1147.114313,,,
,,1148.130407,,,
,,1149.148303,,,
,,1150.167873,,,
,,1151.189386,,,
,,1152.212582,,,
,,1153.237732,,,
,,1154.264575,,,
,,1155.293381,,,
,,1156.323889,,,
,,1157.356371,,,
,,1158.390699,,,
,,1159.426742,,,
,,1160.464775,,,
,,1161.504534,,,
,,1162.546293,,,
,,1163.589786,,,
,,1164.63529,,,
,,1165.682675,,,
,,1166.731809,,,
,,1167.78297,,,
,,1168.83589,,,
,,1169.890847,,,
,,1170.947573,,,
,,1172.006347,,,
,,1173.0669,,,
,,1174.129512,,,
,,1175.194051,,,
,,1176.260384,,,
,,1177.328792,,,
,,1178.399004,,,
,,1179.471302,,,
,,1180.545414,,,
,,1181.621624,,,
,,1182.699659,,,
,,1183.779802,,,
,,1184.86192,,,
,,1185.945877,,,
,,1187.031961,,,
,,1188.119894,,,
,,1189.209965,,,
,,1190.301896,,,
,,1191.395977,,,
,,1192.49207,,,
,,1193.59004,,,
,,1194.690176,,,
,,1195.792199,,,
,,1196.8964,,,
,,1198.002499,,,
,,1199.110787,,,
,,1200.220985,,,
,,1201.333384,,,
,,1202.447847,,,
,,1203.564235,,,
,,1204.682843,,,
,,1205.803387,,,
,,1206.926163,,,
,,1208.050886,,,
,,1209.177853,,,
,,1210.306779,,,
,,1211.437961,,,
,,1212.57126,,,
,,1213.706534,,,
,,1214.844083,,,
,,1215.983618,,,
,,1217.125442,,,
,,1218.269263,,,
,,1219.415385,,,
,,1220.563517,,,
,,1221.713962,,,
,,1222.866578,,,
,,1224.021221,,,
,,1225.178196,,,
,,1226.33721,,,
,,1227.49857,,,
,,1228.661981,,,
,,1229.82775,,,
,,1230.995734,,,
,,1232.165786,,,
,,1233.338217,,,
,,1234.512729,,,
,,1235.689633,,,
,,1236.86863,,,
,,1238.050032,,,
,,1239.233539,,,
,,1240.419465,,,
,,1241.607663,,,
,,1242.797986,,,
,,1243.990747,,,
,,1245.185645,,,
,,1246.382997,,,
,,1247.582497,,,
,,1248.784464,,,
,,1249.988594,,,
,,1251.195204,,,
,,1252.404146,,,
,,1253.61527,,,
,,1254.828895,,,
,,1256.044715,,,
,,1257.263051,,,
,,1258.483595,,,
,,1259.70667,,,
,,1260.932124,,,
,,1262.159805,,,
,,1263.390039,,,
,,1264.622514,,,
,,1265.857556,,,
,,1267.094852,,,
,,1268.33473,,,
,,1269.576875,,,
,,1270.821618,,,
,,1272.068804,,,
,,1273.318278,,,
,,1274.570371,,,
,,1275.824766,,,
,,1277.081797,,,
,,1278.341143,,,
,,1279.603139,,,
,,1280.867465,,,
,,1282.134456,,,
,,1283.403957,,,
,,1284.675809,,,
,,1285.950349,,,
,,1287.227256,,,
,,1288.506867,,,
,,1289.788858,,,
,,1291.073569,,,
,,1292.360842,,,
,,1293.650517,,,
,,1294.942937,,,
,,1296.237774,,,
,,1297.53537,,,
,,1298.835399,,,
,,1300.138205,,,
,,1301.443457,,,
,,1302.751502,,,
,,1304.06218,,,
,,1305.375327,,,
,,1306.691292,,,
,,1308.009742,,,
,,1309.331026,,,
